company,companydesc,category,catdesc
http://www.wikidata.org/entity/Q2007495,OGK-6,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2013357,Occidental Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2013357,Occidental Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2023013,OQ Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2037080,Andeavor,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2037080,Andeavor,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2037080,Andeavor,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q2040151,Vopak,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q4700627,American Shipping Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q4700627,American Shipping Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q4700630,Aker Floating Production,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q4700628,Aker Maritime,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q4700632,Aker Holding,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1748814,Iraq Petroleum Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1755034,OMV Petrom,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1755034,OMV Petrom,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1755034,OMV Petrom,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1770138,Petoro,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1770909,Kongsberg Gruppen,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1770909,Kongsberg Gruppen,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1776022,Equinor ASA,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1776022,Equinor ASA,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1776022,Equinor ASA,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1776022,Equinor ASA,http://www.wikidata.org/entity/Q862571,petroleum industry
